api_id,module_id,package,class_name,method_name,api_type,priority,android_api_level,description_cn,harmony_mapping,mapping_difficulty,adapt_route,estimated_hours,adapter_project,status,notes
P0-0052,M01,android.app,ActionBar,setHomeActionContentDescription,method,P0,,设置HomeActionContentDescription,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0053,M01,android.app,ActionBar,setHomeActionContentDescription,method,P0,,设置HomeActionContentDescription,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0054,M01,android.app,ActionBar,setHomeAsUpIndicator,method,P0,,设置HomeAsUpIndicator,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0055,M01,android.app,ActionBar,setHomeAsUpIndicator,method,P0,,设置HomeAsUpIndicator,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0056,M01,android.app,ActionBar,setHomeButtonEnabled,method,P0,,设置HomeButtonEnabled,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0057,M01,android.app,ActionBar,setIcon,method,P0,,设置Icon,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0058,M01,android.app,ActionBar,setIcon,method,P0,,设置Icon,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0059,M01,android.app,ActionBar,setListNavigationCallbacks,method,P0,,设置ListNavigationCallbacks,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0060,M01,android.app,ActionBar,setLogo,method,P0,,设置Logo,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0061,M01,android.app,ActionBar,setLogo,method,P0,,设置Logo,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0062,M01,android.app,ActionBar,setNavigationMode,method,P0,,设置NavigationMode,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0063,M01,android.app,ActionBar,setSelectedNavigationItem,method,P0,,设置SelectedNavigationItem,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0064,M01,android.app,ActionBar,setSplitBackgroundDrawable,method,P0,,设置SplitBackgroundDrawable,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0065,M01,android.app,ActionBar,setStackedBackgroundDrawable,method,P0,,设置StackedBackgroundDrawable,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0066,M01,android.app,ActionBar,setSubtitle,method,P0,,设置Subtitle,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0067,M01,android.app,ActionBar,setSubtitle,method,P0,,设置Subtitle,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0068,M01,android.app,ActionBar,setTitle,method,P0,,设置Title,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0069,M01,android.app,ActionBar,setTitle,method,P0,,设置Title,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0070,M01,android.app,ActionBar,show,method,P0,,ActionBar.show(),Navigation.show() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0071,M01,android.app,Activity,finish,method,P0,1,完成活动,terminateSelf(),1,adapter,2,13X-01,planned,应用控制
P0-0072,M01,android.app,Activity,onCreate,method,P0,2,活动创建生命周期,UIAbility.onCreate(),3,adapter,8,13X-01,planned,四大组件核心
P0-0073,M01,android.app,Activity,onDestroy,method,P0,2,活动销毁生命周期,UIAbility.onDestroy(),3,adapter,8,13X-01,planned,生命周期
P0-0074,M01,android.app,Activity,onPause,method,P0,2,活动暂停生命周期,UIAbility.onBackground(),3,adapter,8,13X-01,planned,生命周期
P0-0075,M01,android.app,Activity,onResume,method,P0,2,活动恢复生命周期,UIAbility.onForeground(),3,adapter,8,13X-01,planned,生命周期
P0-0076,M01,android.app,Activity,onStart,method,P0,2,活动启动生命周期,UIAbility.onForeground(),3,adapter,8,13X-01,planned,生命周期
P0-0077,M01,android.app,Activity,onStop,method,P0,2,活动停止生命周期,UIAbility.onBackground(),3,adapter,8,13X-01,planned,生命周期
P0-0078,M01,android.app,Activity,setContentView,method,P0,2,设置活动内容视图,build()/loadLayout(),2,adapter,4,13X-01,planned,UI加载
P0-0079,M01,android.app,Service,onBind,method,P0,3,服务绑定处理,UIAbility绑定,3,adapter,8,13X-01,planned,跨进程通信
P0-0080,M01,android.app,Service,onCreate,method,P0,2,服务创建生命周期,UIAbility.onCreate(),3,adapter,8,13X-01,planned,四大组件
P0-0081,M01,android.app,Service,onDestroy,method,P0,2,服务销毁生命周期,UIAbility.onDestroy(),3,adapter,8,13X-01,planned,生命周期
P0-0082,M01,android.app,Service,onStartCommand,method,P0,2,服务启动命令处理,UIAbility处理命令,3,adapter,8,13X-01,planned,服务管理
P0-0083,M01,android.app.assist,AssistContent,<init>,ctor,P0,,AssistContent 构造函数,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0084,M01,android.app.assist,AssistContent,CREATOR,field,P0,,AssistContent.CREATOR 常量/字段,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0085,M01,android.app.assist,AssistContent,describeContents,method,P0,,AssistContent.describeContents(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0086,M01,android.app.assist,AssistContent,getClipData,method,P0,,获取ClipData,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0087,M01,android.app.assist,AssistContent,getExtras,method,P0,,获取Extras,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0088,M01,android.app.assist,AssistContent,getIntent,method,P0,,获取Intent,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0089,M01,android.app.assist,AssistContent,getStructuredData,method,P0,,获取StructuredData,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0090,M01,android.app.assist,AssistContent,getWebUri,method,P0,,获取WebUri,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0091,M01,android.app.assist,AssistContent,isAppProvidedIntent,method,P0,,判断是否AppProvidedIntent,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0092,M01,android.app.assist,AssistContent,isAppProvidedWebUri,method,P0,,判断是否AppProvidedWebUri,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0093,M01,android.app.assist,AssistContent,setClipData,method,P0,,设置ClipData,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0094,M01,android.app.assist,AssistContent,setIntent,method,P0,,设置Intent,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0095,M01,android.app.assist,AssistContent,setStructuredData,method,P0,,设置StructuredData,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0096,M01,android.app.assist,AssistContent,setWebUri,method,P0,,设置WebUri,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0097,M01,android.app.assist,AssistContent,writeToParcel,method,P0,,AssistContent.writeToParcel(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0098,M01,android.app.assist,AssistStructure,<init>,ctor,P0,,AssistStructure 构造函数,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0099,M01,android.app.assist,AssistStructure,CREATOR,field,P0,,AssistStructure.CREATOR 常量/字段,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0100,M01,android.app.assist,AssistStructure,describeContents,method,P0,,AssistStructure.describeContents(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0101,M01,android.app.assist,AssistStructure,getAcquisitionEndTime,method,P0,,获取AcquisitionEndTime,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0102,M01,android.app.assist,AssistStructure,getAcquisitionStartTime,method,P0,,获取AcquisitionStartTime,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0103,M01,android.app.assist,AssistStructure,getActivityComponent,method,P0,,获取ActivityComponent,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0104,M01,android.app.assist,AssistStructure,getWindowNodeAt,method,P0,,获取WindowNodeAt,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0105,M01,android.app.assist,AssistStructure,getWindowNodeCount,method,P0,,获取WindowNodeCount,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0106,M01,android.app.assist,AssistStructure,isHomeActivity,method,P0,,判断是否HomeActivity,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0107,M01,android.app.assist,AssistStructure,writeToParcel,method,P0,,AssistStructure.writeToParcel(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0108,M01,android.app.backup,BackupAgent,<init>,ctor,P0,,BackupAgent 构造函数,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0109,M01,android.app.backup,BackupAgent,FLAG_CLIENT_SIDE_ENCRYPTION_ENABLED,field,P0,,BackupAgent.FLAG_CLIENT_SIDE_ENCRYPTION_ENABLED 常量/字段,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0110,M01,android.app.backup,BackupAgent,FLAG_DEVICE_TO_DEVICE_TRANSFER,field,P0,,BackupAgent.FLAG_DEVICE_TO_DEVICE_TRANSFER 常量/字段,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0111,M01,android.app.backup,BackupAgent,TYPE_DIRECTORY,field,P0,,BackupAgent.TYPE_DIRECTORY 常量/字段,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0112,M01,android.app.backup,BackupAgent,TYPE_FILE,field,P0,,BackupAgent.TYPE_FILE 常量/字段,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0113,M01,android.app.backup,BackupAgent,fullBackupFile,method,P0,,BackupAgent.fullBackupFile(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0114,M01,android.app.backup,BackupAgent,onCreate,method,P0,,创建回调,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0115,M01,android.app.backup,BackupAgent,onDestroy,method,P0,,销毁回调,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0116,M01,android.app.backup,BackupAgent,onQuotaExceeded,method,P0,,QuotaExceeded回调,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0117,M01,android.app.backup,BackupAgent,onRestoreFinished,method,P0,,RestoreFinished回调,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0118,M01,android.app.backup,BackupAgentHelper,<init>,ctor,P0,,BackupAgentHelper 构造函数,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0119,M01,android.app.backup,BackupAgentHelper,addHelper,method,P0,,添加Helper,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0120,M01,android.app.backup,BackupDataInput,getDataSize,method,P0,,获取DataSize,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0121,M01,android.app.backup,BackupDataInput,getKey,method,P0,,获取Key,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0122,M01,android.app.backup,BackupDataInputStream,getKey,method,P0,,获取Key,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0123,M01,android.app.backup,BackupDataInputStream,size,method,P0,,获取大小/数量,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0124,M01,android.app.backup,BackupDataOutput,getQuota,method,P0,,获取Quota,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0125,M01,android.app.backup,BackupDataOutput,getTransportFlags,method,P0,,获取TransportFlags,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0126,M01,android.app.backup,BackupHelper,performBackup,method,P0,,BackupHelper.performBackup(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0127,M01,android.app.backup,BackupHelper,restoreEntity,method,P0,,BackupHelper.restoreEntity(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0128,M01,android.app.backup,BackupHelper,writeNewStateDescription,method,P0,,BackupHelper.writeNewStateDescription(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0129,M01,android.app.backup,BackupManager,<init>,ctor,P0,,BackupManager 构造函数,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0130,M01,android.app.backup,BackupManager,dataChanged,method,P0,,BackupManager.dataChanged(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0131,M01,android.app.backup,BackupManager,dataChanged,method,P0,,BackupManager.dataChanged(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0132,M01,android.app.backup,BackupManager,getUserForAncestralSerialNumber,method,P0,,获取UserForAncestralSerialNumber,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0133,M01,android.app.backup,BackupManager,requestRestore,method,P0,,BackupManager.requestRestore(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0134,M01,android.app.backup,FileBackupHelper,<init>,ctor,P0,,FileBackupHelper 构造函数,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0135,M01,android.app.backup,FileBackupHelper,performBackup,method,P0,,FileBackupHelper.performBackup(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0136,M01,android.app.backup,FileBackupHelper,restoreEntity,method,P0,,FileBackupHelper.restoreEntity(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0137,M01,android.app.backup,FileBackupHelper,writeNewStateDescription,method,P0,,FileBackupHelper.writeNewStateDescription(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0138,M01,android.app.backup,FullBackupDataOutput,getQuota,method,P0,,获取Quota,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0139,M01,android.app.backup,FullBackupDataOutput,getTransportFlags,method,P0,,获取TransportFlags,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0140,M01,android.app.backup,RestoreObserver,<init>,ctor,P0,,RestoreObserver 构造函数,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0141,M01,android.app.backup,RestoreObserver,onUpdate,method,P0,,Update回调,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0142,M01,android.app.backup,RestoreObserver,restoreFinished,method,P0,,RestoreObserver.restoreFinished(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0143,M01,android.app.backup,RestoreObserver,restoreStarting,method,P0,,RestoreObserver.restoreStarting(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0144,M01,android.app.backup,SharedPreferencesBackupHelper,<init>,ctor,P0,,SharedPreferencesBackupHelper 构造函数,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0145,M01,android.app.backup,SharedPreferencesBackupHelper,performBackup,method,P0,,SharedPreferencesBackupHelper.performBackup(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0146,M01,android.app.backup,SharedPreferencesBackupHelper,restoreEntity,method,P0,,SharedPreferencesBackupHelper.restoreEntity(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0147,M01,android.app.backup,SharedPreferencesBackupHelper,writeNewStateDescription,method,P0,,SharedPreferencesBackupHelper.writeNewStateDescription(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0148,M01,android.app.blob,BlobHandle,CREATOR,field,P0,,BlobHandle.CREATOR 常量/字段,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0149,M01,android.app.blob,BlobHandle,createWithSha256,method,P0,,创建WithSha256,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0150,M01,android.app.blob,BlobHandle,describeContents,method,P0,,BlobHandle.describeContents(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0151,M01,android.app.blob,BlobHandle,getExpiryTimeMillis,method,P0,,获取ExpiryTimeMillis,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0152,M01,android.app.blob,BlobHandle,getLabel,method,P0,,获取Label,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0153,M01,android.app.blob,BlobHandle,getSha256Digest,method,P0,,获取Sha256Digest,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0154,M01,android.app.blob,BlobHandle,getTag,method,P0,,获取Tag,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0155,M01,android.app.blob,BlobHandle,writeToParcel,method,P0,,BlobHandle.writeToParcel(),UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0156,M01,android.app.blob,BlobStoreManager,getRemainingLeaseQuotaBytes,method,P0,,获取RemainingLeaseQuotaBytes,UIAbility/ServiceAbility 相关,3,adapter,,13X-01,auto-filled,
P0-0157,M01,android.app.job,JobInfo,BACKOFF_POLICY_EXPONENTIAL,field,P0,,JobInfo.BACKOFF_POLICY_EXPONENTIAL 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0158,M01,android.app.job,JobInfo,BACKOFF_POLICY_LINEAR,field,P0,,JobInfo.BACKOFF_POLICY_LINEAR 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0159,M01,android.app.job,JobInfo,CREATOR,field,P0,,JobInfo.CREATOR 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0160,M01,android.app.job,JobInfo,DEFAULT_INITIAL_BACKOFF_MILLIS,field,P0,,JobInfo.DEFAULT_INITIAL_BACKOFF_MILLIS 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0161,M01,android.app.job,JobInfo,MAX_BACKOFF_DELAY_MILLIS,field,P0,,JobInfo.MAX_BACKOFF_DELAY_MILLIS 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0162,M01,android.app.job,JobInfo,NETWORK_BYTES_UNKNOWN,field,P0,,JobInfo.NETWORK_BYTES_UNKNOWN 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0163,M01,android.app.job,JobInfo,NETWORK_TYPE_ANY,field,P0,,JobInfo.NETWORK_TYPE_ANY 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0164,M01,android.app.job,JobInfo,NETWORK_TYPE_CELLULAR,field,P0,,JobInfo.NETWORK_TYPE_CELLULAR 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0165,M01,android.app.job,JobInfo,NETWORK_TYPE_METERED,field,P0,,JobInfo.NETWORK_TYPE_METERED 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
P0-0166,M01,android.app.job,JobInfo,NETWORK_TYPE_NONE,field,P0,,JobInfo.NETWORK_TYPE_NONE 常量/字段,UIAbility/ServiceAbility 相关,3,system-bridge,,13X-01,auto-filled,
