api_id,module_id,package,class_name,method_name,api_type,priority,android_api_level,description_cn,harmony_mapping,mapping_difficulty,estimated_hours,adapter_project,status,notes
P3-0055,M11,android.app.admin,DeviceAdminReceiver,onPasswordSucceeded,method,P3,,,,,,13X-11,scraped,
P3-0056,M11,android.app.admin,DeviceAdminReceiver,onPasswordSucceeded,method,P3,,,,,,13X-11,scraped,
P3-0057,M11,android.app.admin,DeviceAdminReceiver,onProfileProvisioningComplete,method,P3,,,,,,13X-11,scraped,
P3-0058,M11,android.app.admin,DeviceAdminReceiver,onReadyForUserInitialization,method,P3,,,,,,13X-11,scraped,
P3-0059,M11,android.app.admin,DeviceAdminReceiver,onReceive,method,P3,,,,,,13X-11,scraped,
P3-0060,M11,android.app.admin,DeviceAdminReceiver,onSecurityLogsAvailable,method,P3,,,,,,13X-11,scraped,
P3-0061,M11,android.app.admin,DeviceAdminReceiver,onSystemUpdatePending,method,P3,,,,,,13X-11,scraped,
P3-0062,M11,android.app.admin,DeviceAdminReceiver,onTransferAffiliatedProfileOwnershipComplete,method,P3,,,,,,13X-11,scraped,
P3-0063,M11,android.app.admin,DeviceAdminReceiver,onTransferOwnershipComplete,method,P3,,,,,,13X-11,scraped,
P3-0064,M11,android.app.admin,DeviceAdminReceiver,onUserAdded,method,P3,,,,,,13X-11,scraped,
P3-0065,M11,android.app.admin,DeviceAdminReceiver,onUserRemoved,method,P3,,,,,,13X-11,scraped,
P3-0066,M11,android.app.admin,DeviceAdminReceiver,onUserStarted,method,P3,,,,,,13X-11,scraped,
P3-0067,M11,android.app.admin,DeviceAdminReceiver,onUserStopped,method,P3,,,,,,13X-11,scraped,
P3-0068,M11,android.app.admin,DeviceAdminReceiver,onUserSwitched,method,P3,,,,,,13X-11,scraped,
P3-0069,M11,android.app.admin,DeviceAdminReceiver,ACTION_CHOOSE_PRIVATE_KEY_ALIAS,field,P3,,,,,,13X-11,scraped,
P3-0070,M11,android.app.admin,DeviceAdminReceiver,ACTION_DEVICE_ADMIN_DISABLED,field,P3,,,,,,13X-11,scraped,
P3-0071,M11,android.app.admin,DeviceAdminReceiver,ACTION_DEVICE_ADMIN_DISABLE_REQUESTED,field,P3,,,,,,13X-11,scraped,
P3-0072,M11,android.app.admin,DeviceAdminReceiver,ACTION_DEVICE_ADMIN_ENABLED,field,P3,,,,,,13X-11,scraped,
P3-0073,M11,android.app.admin,DeviceAdminReceiver,ACTION_LOCK_TASK_ENTERING,field,P3,,,,,,13X-11,scraped,
P3-0074,M11,android.app.admin,DeviceAdminReceiver,ACTION_LOCK_TASK_EXITING,field,P3,,,,,,13X-11,scraped,
P3-0075,M11,android.app.admin,DeviceAdminReceiver,ACTION_NETWORK_LOGS_AVAILABLE,field,P3,,,,,,13X-11,scraped,
P3-0076,M11,android.app.admin,DeviceAdminReceiver,ACTION_PASSWORD_CHANGED,field,P3,,,,,,13X-11,scraped,
P3-0077,M11,android.app.admin,DeviceAdminReceiver,ACTION_PASSWORD_EXPIRING,field,P3,,,,,,13X-11,scraped,
P3-0078,M11,android.app.admin,DeviceAdminReceiver,ACTION_PASSWORD_FAILED,field,P3,,,,,,13X-11,scraped,
P3-0079,M11,android.app.admin,DeviceAdminReceiver,ACTION_PASSWORD_SUCCEEDED,field,P3,,,,,,13X-11,scraped,
P3-0080,M11,android.app.admin,DeviceAdminReceiver,ACTION_PROFILE_PROVISIONING_COMPLETE,field,P3,,,,,,13X-11,scraped,
P3-0081,M11,android.app.admin,DeviceAdminReceiver,ACTION_SECURITY_LOGS_AVAILABLE,field,P3,,,,,,13X-11,scraped,
P3-0082,M11,android.app.admin,DeviceAdminReceiver,BUGREPORT_FAILURE_FAILED_COMPLETING,field,P3,,,,,,13X-11,scraped,
P3-0083,M11,android.app.admin,DeviceAdminReceiver,BUGREPORT_FAILURE_FILE_NO_LONGER_AVAILABLE,field,P3,,,,,,13X-11,scraped,
P3-0084,M11,android.app.admin,DeviceAdminReceiver,DEVICE_ADMIN_META_DATA,field,P3,,,,,,13X-11,scraped,
P3-0085,M11,android.app.admin,DeviceAdminReceiver,EXTRA_DISABLE_WARNING,field,P3,,,,,,13X-11,scraped,
P3-0086,M11,android.app.admin,DeviceAdminReceiver,EXTRA_LOCK_TASK_PACKAGE,field,P3,,,,,,13X-11,scraped,
P3-0087,M11,android.app.admin,DeviceAdminReceiver,EXTRA_TRANSFER_OWNERSHIP_ADMIN_EXTRAS_BUNDLE,field,P3,,,,,,13X-11,scraped,
P3-0088,M11,android.app.admin,DeviceAdminService,<init>,ctor,P3,,,,,,13X-11,scraped,
P3-0089,M11,android.app.admin,DeviceAdminService,onBind,method,P3,,,,,,13X-11,scraped,
P3-0090,M11,android.app.admin,DevicePolicyIdentifiers,getIdentifierForUserRestriction,method,P3,,,,,,13X-11,scraped,
P3-0091,M11,android.app.admin,DevicePolicyIdentifiers,ACCOUNT_MANAGEMENT_DISABLED_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0092,M11,android.app.admin,DevicePolicyIdentifiers,APPLICATION_HIDDEN_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0093,M11,android.app.admin,DevicePolicyIdentifiers,APPLICATION_RESTRICTIONS_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0094,M11,android.app.admin,DevicePolicyIdentifiers,AUTO_TIMEZONE_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0095,M11,android.app.admin,DevicePolicyIdentifiers,AUTO_TIME_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0096,M11,android.app.admin,DevicePolicyIdentifiers,BACKUP_SERVICE_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0097,M11,android.app.admin,DevicePolicyIdentifiers,CAMERA_DISABLED_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0098,M11,android.app.admin,DevicePolicyIdentifiers,KEYGUARD_DISABLED_FEATURES_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0099,M11,android.app.admin,DevicePolicyIdentifiers,LOCK_TASK_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0100,M11,android.app.admin,DevicePolicyIdentifiers,PACKAGES_SUSPENDED_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0101,M11,android.app.admin,DevicePolicyIdentifiers,PACKAGE_UNINSTALL_BLOCKED_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0102,M11,android.app.admin,DevicePolicyIdentifiers,PERMISSION_GRANT_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0103,M11,android.app.admin,DevicePolicyIdentifiers,PERSISTENT_PREFERRED_ACTIVITY_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0104,M11,android.app.admin,DevicePolicyIdentifiers,RESET_PASSWORD_TOKEN_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0105,M11,android.app.admin,DevicePolicyIdentifiers,STATUS_BAR_DISABLED_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0106,M11,android.app.admin,DevicePolicyIdentifiers,USER_CONTROL_DISABLED_PACKAGES_POLICY,field,P3,,,,,,13X-11,scraped,
P3-0107,M11,android.app.admin,DevicePolicyManager,acknowledgeDeviceCompliant,method,P3,,,,,,13X-11,scraped,
P3-0108,M11,android.app.admin,DevicePolicyManager,addCrossProfileIntentFilter,method,P3,,,,,,13X-11,scraped,
P3-0109,M11,android.app.admin,DevicePolicyManager,addCrossProfileWidgetProvider,method,P3,,,,,,13X-11,scraped,
P3-0110,M11,android.app.admin,DevicePolicyManager,addOverrideApn,method,P3,,,,,,13X-11,scraped,
P3-0111,M11,android.app.admin,DevicePolicyManager,addPersistentPreferredActivity,method,P3,,,,,,13X-11,scraped,
P3-0112,M11,android.app.admin,DevicePolicyManager,addUserRestriction,method,P3,,,,,,13X-11,scraped,
P3-0113,M11,android.app.admin,DevicePolicyManager,addUserRestrictionGlobally,method,P3,,,,,,13X-11,scraped,
P3-0114,M11,android.app.admin,DevicePolicyManager,bindDeviceAdminServiceAsUser,method,P3,,,,,,13X-11,scraped,
P3-0115,M11,android.app.admin,DevicePolicyManager,bindDeviceAdminServiceAsUser,method,P3,,,,,,13X-11,scraped,
P3-0116,M11,android.app.admin,DevicePolicyManager,canAdminGrantSensorsPermissions,method,P3,,,,,,13X-11,scraped,
P3-0117,M11,android.app.admin,DevicePolicyManager,canUsbDataSignalingBeDisabled,method,P3,,,,,,13X-11,scraped,
P3-0118,M11,android.app.admin,DevicePolicyManager,clearApplicationUserData,method,P3,,,,,,13X-11,scraped,
P3-0119,M11,android.app.admin,DevicePolicyManager,clearCrossProfileIntentFilters,method,P3,,,,,,13X-11,scraped,
P3-0120,M11,android.app.admin,DevicePolicyManager,clearDeviceOwnerApp,method,P3,,,,,,13X-11,scraped,
P3-0121,M11,android.app.admin,DevicePolicyManager,clearPackagePersistentPreferredActivities,method,P3,,,,,,13X-11,scraped,
P3-0122,M11,android.app.admin,DevicePolicyManager,clearProfileOwner,method,P3,,,,,,13X-11,scraped,
P3-0123,M11,android.app.admin,DevicePolicyManager,clearResetPasswordToken,method,P3,,,,,,13X-11,scraped,
P3-0124,M11,android.app.admin,DevicePolicyManager,clearUserRestriction,method,P3,,,,,,13X-11,scraped,
P3-0125,M11,android.app.admin,DevicePolicyManager,createAdminSupportIntent,method,P3,,,,,,13X-11,scraped,
P3-0126,M11,android.app.admin,DevicePolicyManager,createAndManageUser,method,P3,,,,,,13X-11,scraped,
P3-0127,M11,android.app.admin,DevicePolicyManager,enableSystemApp,method,P3,,,,,,13X-11,scraped,
P3-0128,M11,android.app.admin,DevicePolicyManager,enableSystemApp,method,P3,,,,,,13X-11,scraped,
P3-0129,M11,android.app.admin,DevicePolicyManager,generateKeyPair,method,P3,,,,,,13X-11,scraped,
P3-0130,M11,android.app.admin,DevicePolicyManager,getAccountTypesWithManagementDisabled,method,P3,,,,,,13X-11,scraped,
P3-0131,M11,android.app.admin,DevicePolicyManager,getActiveAdmins,method,P3,,,,,,13X-11,scraped,
P3-0132,M11,android.app.admin,DevicePolicyManager,getAffiliationIds,method,P3,,,,,,13X-11,scraped,
P3-0133,M11,android.app.admin,DevicePolicyManager,getAlwaysOnVpnLockdownWhitelist,method,P3,,,,,,13X-11,scraped,
P3-0134,M11,android.app.admin,DevicePolicyManager,getAlwaysOnVpnPackage,method,P3,,,,,,13X-11,scraped,
P3-0135,M11,android.app.admin,DevicePolicyManager,getApplicationRestrictions,method,P3,,,,,,13X-11,scraped,
P3-0136,M11,android.app.admin,DevicePolicyManager,getApplicationRestrictionsManagingPackage,method,P3,,,,,,13X-11,scraped,
